POA,Population (2006),Population (2011),Population (2016),Population (2021)
3942,3270.0,3344.0,3471.0,3534.0
3943,2845.0,2914.0,3053.0,3102.0
3944,1250.0,1334.0,1451.0,1456.0
3945,685.0,464.0,484.0,508.0
3946,104.0,,106.0,148.0
3950,1725.0,2095.0,2221.0,2385.0
3951,355.0,442.0,492.0,466.0
3953,3045.0,3277.0,3508.0,3748.0
3954,178.0,156.0,165.0,171.0
3956,2450.0,2700.0,2851.0,3136.0
3957,,237.0,129.0,133.0
3958,129.0,224.0,150.0,153.0
3959,1071.0,1076.0,1271.0,1333.0
3960,1458.0,1325.0,1528.0,1615.0
3962,560.0,661.0,554.0,577.0
3964,77.0,,93.0,108.0
3965,188.0,212.0,125.0,246.0
3966,278.0,385.0,290.0,304.0
3967,,,67.0,66.0
3971,2327.0,2207.0,2309.0,2406.0
3975,1719.0,3770.0,4440.0,5230.0
3976,7526.0,7874.0,8331.0,8639.0
3977,17549.0,24569.0,32464.0,39481.0
3978,434.0,462.0,3844.0,13840.0
3979,,340.0,144.0,159.0
3980,1124.0,1222.0,1318.0,1372.0
3981,1469.0,1672.0,1859.0,2079.0
3984,2616.0,3004.0,3201.0,4016.0
3987,383.0,506.0,573.0,595.0
3988,344.0,379.0,437.0,489.0
3990,,,52.0,56.0
3991,464.0,219.0,196.0,211.0
3992,285.0,317.0,489.0,608.0
3995,4801.0,5293.0,5793.0,6525.0
3996,3474.0,4133.0,4353.0,4754.0
3999,45.0,,,
Total,,2274688.0,2517676.0,2801730.0
